timestamp_s,acc_x,acc_y,acc_z,totalAcc_g, vertVel_fps,yaw_deg, pitch_deg, roll_deg, tilt_deg,pressure_hpa,altitude_ft,temp_f,flight_state,drogue1,drogue2,main1,main2
16.6,0,1.6,0,1,-11.2,-9.5,-0.9,0.2,0.9,982.2,-0.9,89.4,1,N,N,N,N
16.6,0.2,0.1,1,1,-11.3,-20.3,-2.2,-0.5,2.2,982.2,-0.9,89.4,1,N,N,N,N
16.7,0.2,0.1,1,1,-10.3,-20.3,-2.2,-0.5,2.2,982.1,2.7,89.4,1,N,N,N,N
16.8,0.2,0.1,1,1,-10.4,-31.3,-1.6,-0.2,1.6,982.2,-0.5,89.4,1,N,N,N,N
16.8,0.1,0.2,0.9,0.9,-10.7,-42.6,3,3.1,4.3,982.2,-0.5,89.4,1,N,N,N,N
16.9,0.1,0.2,0.9,0.9,-9.4,-42.6,3,3.1,4.3,982.2,-0.4,89.4,1,N,N,N,N
17,0.1,0.2,0.9,1,-8.4,-49.3,11,8.6,13.9,982.2,-0.1,89.4,1,N,N,N,N
17,-0.2,0.4,0.8,0.9,-9,-50.4,21.6,14.8,26,982.2,-0.1,89.4,1,N,N,N,N
17.1,-0.2,0.4,0.8,0.9,-8.7,-50.4,21.6,14.8,26,982.2,-0.7,89.4,1,N,N,N,N
17.2,-0.2,0.4,0.8,0.9,-8.4,-45.9,32,23.9,39.2,982.2,-1.1,89.4,1,N,N,N,N
17.2,-0.6,0.7,0.5,1,-9.7,-35.2,42,37.7,53.9,982.2,-1.1,89.4,1,N,N,N,N
17.3,-0.6,0.7,0.5,1.1,-8.2,-32.4,42.9,40.7,56.2,982.2,-0.8,89.4,1,N,N,N,N
17.4,-0.6,0.7,0.5,1,-9.4,-21.6,44.8,49.2,62.3,982.2,-1.1,89.4,1,N,N,N,N
17.4,-0.6,0.6,0.3,0.9,-11.6,-8.1,46.3,60.7,70.1,982.2,-1.1,89.4,1,N,N,N,N
17.5,-0.6,0.6,0.3,0.9,-10.7,-8.1,46.3,60.7,70.1,982.3,-2.1,89.4,1,N,N,N,N
17.6,-0.6,0.6,0.3,1,-11.2,3.2,44.5,69,75.1,982.2,0.2,89.4,1,N,N,N,N
17.6,-0.7,0.8,0.1,1.1,-13.7,11.7,41.2,73,77.2,982.2,0.2,89.4,1,N,N,N,N
17.7,-0.7,0.8,0.1,1.1,-11.1,11.7,41.2,73,77.2,982.2,0.2,89.4,1,N,N,N,N
17.8,-0.7,0.8,0.1,1,-12.8,17.6,41.8,77,80.3,982.1,2,89.4,1,N,N,N,N
