timestamp_s,acc_x,acc_y,acc_z,accel_g, velocity_fps,yaw_deg, pitch_deg, roll_deg,pressure_hpa,altitude_ft,temp_f,flight_state,drogue1,drogue2,main1,main2
1.3,-0.0,0.0,1.0,1.0,-4.1,0.0,6.3,0.1,992.2,-0.1,88.2,1,N,N,N,N
1.4,-0.0,0.0,1.0,1.0,-3.5,0.0,4.0,0.0,992.2,0.1,88.2,1,N,N,N,N
1.5,-0.0,0.0,1.0,1.0,-0.3,0.0,2.8,0.0,992.1,1.3,88.2,1,N,N,N,N
1.6,-0.0,0.0,1.0,1.0,-1.5,0.0,2.2,0.0,992.1,0.5,88.2,1,N,N,N,N
1.7,-0.0,0.0,1.0,1.0,-5.0,0.0,1.9,0.0,992.2,-1.2,88.2,1,N,N,N,N
1.8,-0.0,0.0,1.0,1.0,-2.3,0.0,1.7,0.0,992.1,0.1,88.2,1,N,N,N,N
1.9,-0.0,0.0,1.0,1.0,0.2,0.0,1.6,0.0,992.1,1.2,88.2,1,N,N,N,N
2.0,-0.0,0.0,1.0,1.0,-5.6,-0.0,1.5,0.0,992.2,-1.9,88.2,1,N,N,N,N
2.1,-0.0,0.0,1.0,1.0,-2.0,0.0,1.4,0.0,992.2,-0.3,88.2,1,N,N,N,N
2.2,-0.0,-0.0,1.0,1.0,-2.6,0.0,1.4,0.0,992.2,-1.0,88.2,1,N,N,N,N
2.3,-0.0,0.0,1.0,1.0,-5.2,0.0,1.4,0.0,992.2,-2.5,88.2,1,N,N,N,N
2.4,-0.0,0.0,1.0,1.0,-1.4,-0.0,1.4,0.0,992.2,-1.1,88.3,1,N,N,N,N
2.5,-0.0,0.0,1.0,1.0,-2.6,0.0,1.4,0.0,992.2,-1.9,88.3,1,N,N,N,N
2.6,-0.0,0.0,1.0,1.0,-0.6,0.0,1.4,0.0,992.2,-1.3,88.3,1,N,N,N,N
2.7,-0.0,0.0,1.0,1.0,-2.5,0.0,1.4,0.0,992.3,-2.3,88.3,1,N,N,N,N
2.8,-0.0,0.0,1.0,1.0,0.3,0.0,1.4,0.0,992.2,-1.3,88.3,1,N,N,N,N
2.9,-0.0,0.0,1.0,1.0,-2.6,-0.0,1.4,0.0,992.3,-2.9,88.3,1,N,N,N,N
3.0,-0.0,0.0,1.0,1.0,-3.0,0.0,1.4,0.0,992.3,-3.1,88.3,1,N,N,N,N
3.1,-0.0,0.0,1.0,1.0,-1.4,0.0,1.4,0.0,992.3,-2.5,88.3,1,N,N,N,N
3.2,-0.0,0.0,1.0,1.0,-2.8,-0.0,1.4,0.0,992.3,-3.0,88.3,1,N,N,N,N
3.3,-0.0,0.0,1.0,1.0,0.5,0.0,1.4,0.0,992.3,-1.5,88.3,1,N,N,N,N
3.4,-0.0,0.0,1.0,1.0,-0.2,0.0,1.3,0.0,992.3,-1.9,88.3,1,N,N,N,N
3.5,-0.0,0.0,1.0,1.0,-2.1,-0.0,1.3,0.0,992.4,-2.9,88.3,1,N,N,N,N
3.6,-0.0,0.0,1.0,1.0,-0.1,-0.0,1.3,0.0,992.3,-1.8,88.3,1,N,N,N,N
3.7,-0.0,0.0,1.0,1.0,-0.3,-0.0,1.3,0.0,992.3,-1.9,88.3,1,N,N,N,N
3.8,-0.0,0.0,1.0,1.0,-4.4,-0.0,1.3,0.0,992.4,-4.0,88.3,1,N,N,N,N
3.9,-0.0,0.0,1.0,1.0,-0.8,-0.0,1.3,0.0,992.4,-2.3,88.3,1,N,N,N,N
4.0,-0.0,0.0,1.0,1.0,1.7,-0.0,1.3,0.0,992.3,-0.9,88.3,1,N,N,N,N
4.1,-0.0,0.0,1.0,1.0,1.2,-0.0,1.3,0.0,992.3,-1.0,88.3,1,N,N,N,N
4.2,-0.0,0.0,1.0,1.0,-0.8,-0.0,1.3,0.0,992.4,-1.9,88.3,1,N,N,N,N
4.3,-0.0,0.0,1.0,1.0,1.2,0.0,1.3,0.0,992.3,-1.0,88.3,1,N,N,N,N
4.4,-0.0,0.0,1.0,1.0,0.3,-0.0,1.3,0.0,992.3,-1.2,88.3,1,N,N,N,N
4.5,-0.0,0.0,1.0,1.0,-1.9,0.0,1.4,0.0,992.4,-2.3,88.3,1,N,N,N,N
4.6,-0.0,0.0,1.0,1.0,2.1,0.0,1.4,0.0,992.3,-0.3,88.3,1,N,N,N,N
4.7,-0.0,0.0,1.0,1.0,-1.0,0.0,1.4,0.0,992.4,-1.8,88.3,1,N,N,N,N
4.8,-0.0,0.0,1.0,1.0,3.1,0.0,1.4,0.0,992.3,0.2,88.3,1,N,N,N,N
4.9,-0.0,0.0,1.0,1.0,-1.3,-0.0,1.4,0.0,992.4,-1.8,88.3,1,N,N,N,N
5.0,-0.0,0.0,1.0,1.0,0.2,-0.0,1.4,0.0,992.4,-1.2,88.3,1,N,N,N,N
5.1,-0.0,0.0,1.0,1.0,-0.8,-0.0,1.4,0.0,992.4,-1.8,88.3,1,N,N,N,N
5.2,-0.0,0.0,1.0,1.0,2.5,0.0,1.4,0.0,992.4,-0.4,88.3,1,N,N,N,N
5.3,-0.0,0.0,1.0,1.0,1.0,0.0,1.4,0.0,992.4,-1.2,88.3,1,N,N,N,N
5.4,-0.0,0.0,1.0,1.0,-0.2,-0.0,1.4,0.0,992.4,-1.6,88.3,1,N,N,N,N
5.5,-0.0,0.0,1.0,1.0,-1.0,-0.0,1.4,0.0,992.4,-2.0,88.3,1,N,N,N,N
5.6,-0.0,0.0,1.0,1.0,-2.1,-0.0,1.4,0.0,992.5,-2.6,88.4,1,N,N,N,N
5.7,-0.0,0.0,1.0,1.0,0.3,-0.0,1.4,0.0,992.4,-1.4,88.3,1,N,N,N,N
5.8,-0.0,0.0,1.0,1.0,-2.5,-0.0,1.4,0.0,992.5,-2.9,88.4,1,N,N,N,N
5.9,-0.0,0.0,1.0,1.0,-0.8,-0.0,1.4,0.0,992.5,-2.2,88.3,1,N,N,N,N
6.0,-0.0,0.0,1.0,1.0,-0.1,-0.0,1.4,0.0,992.4,-1.8,88.4,1,N,N,N,N
6.1,-0.0,0.0,1.0,1.0,2.2,-0.0,1.4,0.0,992.4,-0.5,88.4,1,N,N,N,N
6.2,-0.0,0.0,1.0,1.0,2.7,-0.0,1.4,0.0,992.4,-0.1,88.3,1,N,N,N,N
6.3,-0.0,0.0,1.0,1.0,3.7,-0.0,1.4,0.0,992.4,0.3,88.4,1,N,N,N,N
6.4,-0.0,0.0,1.0,1.0,4.0,-0.0,1.4,0.0,992.4,0.6,88.4,1,N,N,N,N
6.5,-0.0,0.0,1.0,1.0,0.3,-0.0,1.4,0.0,992.4,-1.1,88.4,1,N,N,N,N
6.6,-0.0,0.0,1.0,1.0,3.1,-0.0,1.4,0.0,992.4,0.5,88.3,1,N,N,N,N
6.7,-0.0,0.0,1.0,1.0,4.4,-0.0,1.4,0.0,992.4,1.3,88.4,1,N,N,N,N
6.8,-0.0,0.0,1.0,1.0,0.1,-0.0,1.4,0.0,992.4,-0.7,88.4,1,N,N,N,N
